;price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
1071800;43900;2016;4;6;43500;clean;automatic;4wd;full-size;36,4715;-82,4834;59
1458828;15490;2009;2;8;98131;clean;automatic;4wd;full-size;40,468826;-74,281734;52
890437;2495;2002;2;8;201803;clean;automatic;4wd;full-size;42,477134;-82,949564;45
463498;1300;2000;1;8;170305;rebuilt;automatic;4wd;full-size;40,764373;-82,349503;49
322774;13865;2010;3;8;166062;clean;automatic;4wd;;49,210949;-123,11472;
605581;6995;2003;3;8;167662;clean;automatic;4wd;full-size;45,518031;-122,578752;50
1031576;8995;2006;3;8;115500;clean;automatic;rwd;full-size;43,592223;-96,787488;38
702022;5995;2005;3;6;191198;clean;automatic;rwd;full-size;38,611926;-121,423565;59
1320289;18750;2011;2;6;77000;clean;automatic;rwd;;33,6989;-84,7454;59
1224789;5500;2007;3;6;139913;clean;manual;rwd;full-size;31,782356;-96,088975;67
442860;8900;2008;2;8;124600;rebuilt;automatic;4wd;full-size;40,5384;-82,8062;49
1343314;19680;2015;4;6;135150;clean;automatic;4wd;full-size;37,167749;-113,415403;50
1625385;1700;2001;1;8;275000;clean;automatic;4wd;;44,5494;-90,6112;45
1657499;12550;2007;3;8;139848;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
899368;11700;2010;2;8;144570;clean;automatic;4wd;full-size;42,892121;-85,665539;45
1713797;24077;2012;3;6;98462;clean;automatic;4wd;mid-size;34,25343;-77,85125;56
1689293;39800;2015;3;6;81233;clean;automatic;4wd;mid-size;34,74851;-77,41559;56
1715097;11995;2007;3;8;237627;clean;automatic;4wd;mid-size;35,55495;-77,40627;56
60767;32500;2015;3;6;73300;clean;automatic;4wd;full-size;49,184885;-122,801111;
482565;7500;2005;2;8;152700;clean;automatic;4wd;full-size;34,5575;-114,3307;71
828926;8000;2005;3;8;114100;clean;automatic;rwd;full-size;40,1306;-104,9504;45
156665;32700;2015;3;6;88500;clean;automatic;4wd;full-size;50,039078;-125,271885;
1225504;14000;2010;2;8;116000;clean;automatic;4wd;full-size;31,8841;-94,3967;67
99763;2500;1999;2;8;198012;clean;automatic;rwd;full-size;33,4669;-94,0774;67
127156;19550;2011;3;8;95372;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
1659409;35999;2016;3;8;25814;clean;automatic;4wd;;43,852883;-88,855927;45
1691445;26900;2013;3;8;95208;clean;automatic;4wd;full-size;36,277213;-80,339822;56
870450;14000;1978;3;8;45000;clean;manual;4wd;full-size;43,000228;-82,435398;45
793324;4850;2008;2;6;155000;clean;automatic;rwd;full-size;40,1245;-75,3304;53
806850;3500;1995;2;8;120000;clean;automatic;4wd;full-size;39,875935;-75,555846;53
1604277;14995;2010;3;8;80246;clean;automatic;4wd;full-size;43,223552;-77,372473;53
1722957;16750;2012;2;8;160360;clean;automatic;4wd;full-size;33,931773;-88,480625;61
1602395;13995;2008;3;8;105033;clean;automatic;4wd;full-size;43,223552;-77,372473;53
206192;10000;2005;2;8;148000;clean;automatic;4wd;;61,1535;-149,8289;29
1208382;16995;2007;3;8;30415;clean;automatic;4wd;full-size;47,830597;-110,662694;40
332319;6500;2006;3;8;130000;clean;automatic;rwd;;38,824368;-91,20075;52
126968;3200;2003;2;8;231000;clean;automatic;4wd;full-size;42,4649;-90,6829;47
1708283;33777;2018;3;8;12598;clean;automatic;4wd;mid-size;34,25343;-77,85125;56
13533;16990;2014;3;6;99422;clean;automatic;4wd;full-size;47,911024;-97,045022;38
111835;26300;2016;4;6;54200;clean;automatic;rwd;full-size;30,385487;-86,394253;65
1649092;25495;2013;3;8;41952;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
398257;3000;1996;3;6;181000;clean;manual;fwd;;33,606938;-86,118533;61
1061899;32950;2014;4;8;29477;clean;automatic;4wd;full-size;37,063766;-93,556502;52
1330436;15000;2014;3;6;156338;clean;automatic;4wd;;41,210404;-96,018276;46
1595503;64990;2018;3;6;8023;clean;automatic;4wd;full-size;43,154309;-75,931578;53
1622053;4000;2005;1;8;99500;clean;automatic;4wd;full-size;44,33023;-88,640601;45
1029796;27995;2016;3;6;42207;clean;automatic;4wd;full-size;44,082529;-103,227047;38
987359;8250;2009;2;8;168700;clean;automatic;4wd;full-size;43,5667;-91,913;43
491845;31257;2015;3;6;54380;clean;automatic;4wd;full-size;33,640206;-112,035982;71
1636932;11485;2008;2;8;120571;clean;automatic;4wd;full-size;43,122774;-88,52791;45
1632420;11880;2008;3;8;147311;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
204955;5300;2007;2;8;24700;clean;automatic;4wd;full-size;46,9209;-96,8318;38
593377;3328;1998;3;8;253765;clean;automatic;4wd;full-size;44,585547;-123,25671;50
68155;53888;2018;4;8;10500;clean;automatic;4wd;;49,172179;-123,076057;
411283;8989;2002;2;8;167068;clean;automatic;4wd;full-size;38,153554;-85,659028;50
1650231;26320;2014;3;6;64947;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
543286;4900;2004;2;8;204603;clean;automatic;4wd;full-size;35,250553;-91,711354;59
393204;1500;2001;1;8;280000;clean;automatic;4wd;full-size;32,4145;-85,7253;61
679134;28495;2016;3;8;31486;clean;automatic;rwd;;34,070283;-117,417684;59
802356;4900;2007;2;6;90000;clean;automatic;rwd;full-size;40,616946;-75,441782;53
133459;7495;2008;3;8;194337;clean;automatic;4wd;;45,2617;-88,078;45
962524;11500;1979;2;6;98517;clean;manual;4wd;full-size;47,9034;-91,857;43
860202;1299;1999;2;6;220000;clean;manual;rwd;full-size;39,777232;-105,146965;45
801883;18500;2013;3;6;98000;rebuilt;automatic;4wd;full-size;40,2688;-76,1013;53
1070909;23889;2013;2;8;108244;clean;automatic;4wd;full-size;35,01845;-85,204983;59
864429;3495;2002;2;8;201803;clean;automatic;4wd;full-size;42,477134;-82,949564;45
167536;25991;2015;2;6;105207;clean;automatic;4wd;full-size;37,650441;-97,335104;51
66541;16995;2002;2;8;65336;clean;automatic;rwd;full-size;33,711509;-78,909582;60
212210;7900;2005;3;8;101000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
673279;4900;2008;3;8;189166;clean;automatic;rwd;full-size;38,119829;-121,260241;59
329501;3500;2004;1;8;177583;clean;automatic;4wd;;42,245;-71,838;50
1670059;18800;2012;3;8;97000;lien;automatic;4wd;full-size;39,1938;-96,5858;51
431701;1;2014;3;6;117123;clean;automatic;rwd;full-size;29,975385;-90,172386;67
1061354;4000;1997;2;8;224000;clean;automatic;rwd;mid-size;38,593367;-92,271423;52
1574659;21990;2014;3;8;84883;clean;automatic;4wd;full-size;43,155048;-75,952654;53
669861;1200;1996;2;6;103000;clean;automatic;rwd;full-size;33,8018;-116,517;59
980870;3490;1999;3;8;237000;clean;automatic;;;46,450007;-95,12469;43
792118;11860;2009;3;8;82884;clean;automatic;fwd;compact;40,4598;-79,8224;53
1521937;1200;2004;2;8;192659;clean;automatic;rwd;full-size;41,680321;-86,160307;48
1624725;16500;2012;3;8;96755;clean;automatic;4wd;full-size;42,8885;-88,2122;45
1025119;16900;2014;2;6;64368;clean;automatic;rwd;full-size;31,316064;-89,437114;61
611144;20888;2014;3;6;89003;clean;automatic;rwd;full-size;37,323657;-121,927101;59
620690;18995;2013;3;6;0;clean;automatic;;full-size;32,788557;-117,098278;59
1441752;3500;1987;2;8;136600;rebuilt;automatic;rwd;full-size;41,504016;-87,868651;48
104626;29750;2015;3;8;38943;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
1591005;21990;2014;3;8;96079;clean;automatic;4wd;full-size;43,153808;-75,930719;53
1562985;35995;2016;2;8;19050;clean;automatic;4wd;full-size;43,078373;-92,317804;47
290582;999;2011;2;8;85000;clean;automatic;rwd;;41,0334;-81,4385;49
1034904;10500;2008;3;8;172000;clean;automatic;rwd;;37,1597;-94,3112;52
1472327;24500;2014;2;8;103610;lien;automatic;4wd;full-size;46,0614;-118,3315;50
358260;16995;2012;3;6;103529;clean;automatic;rwd;full-size;31,732124;-106,364833;67
154671;13500;2009;3;8;197662;clean;automatic;4wd;full-size;34,8825;-87,7398;61
1457532;4500;2007;2;8;198000;clean;automatic;4wd;full-size;39,636735;-75,011559;52
23247;8800;2011;2;8;208000;clean;automatic;4wd;;37,7379;-97,2479;51
1632608;19550;2011;3;8;95372;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
505239;18800;2010;3;8;127953;clean;automatic;4wd;full-size;44,138399;-70,225926;44
1232797;4500;2005;3;8;190000;clean;automatic;;full-size;33,561423;-101,856411;67
422338;8950;2008;3;8;131218;clean;automatic;4wd;full-size;61,167987;-149,868879;29
207723;15950;2013;2;8;99470;clean;automatic;rwd;full-size;33,512633;-86,79777;61
1432839;5800;2004;2;8;146000;clean;automatic;4wd;;40,779;-89,723;48
452513;4995;2001;2;8;122522;clean;automatic;4wd;full-size;41,4349;-82,7063;49
1591007;32990;2018;3;8;17621;clean;automatic;rwd;full-size;43,15481;-75,932436;53
164687;19375;2013;2;6;105706;clean;automatic;rwd;full-size;32,427868;-86,467649;61
424687;1;2014;3;6;117123;clean;automatic;rwd;full-size;29,975385;-90,172386;67
577232;5000;2000;3;8;165961;clean;automatic;4wd;full-size;42,443348;-123,32428;50
894522;15000;2005;3;8;97000;clean;automatic;4wd;full-size;42,6159;-83,9248;45
1641412;1500;2002;2;6;126363;clean;automatic;rwd;;42,527911;-88,975182;45
1227854;43900;2016;3;6;57250;clean;automatic;4wd;full-size;32,965063;-96,913304;67
1464419;15500;2010;3;8;99000;clean;automatic;4wd;full-size;40,464;-74,2742;52
572423;19998;2012;2;8;95340;clean;automatic;;full-size;42,3899;-122,9222;50
444347;10800;2013;3;6;88000;clean;automatic;rwd;full-size;41,596936;-81,547063;49
568788;28995;2014;2;8;40500;clean;automatic;4wd;full-size;45,524794;-122,65617;50
292197;17995;2010;3;8;114000;clean;automatic;4wd;full-size;39,588258;-84,336809;49
1565612;12995;2010;2;8;144073;clean;automatic;4wd;full-size;42,504823;-92,405569;47
1240824;3500;2004;3;8;200000;clean;automatic;;;25,950376;-97,321693;67
496548;10900;2010;3;8;0;clean;automatic;4wd;full-size;32,252974;-110,97871;71
31251;37995;2015;4;8;26903;clean;automatic;4wd;;50,045346;-125,269028;
946508;1800;1994;3;8;170;clean;automatic;rwd;full-size;41,417217;-72,746115;51
1274474;10899;2006;3;8;140322;clean;automatic;4wd;full-size;29,534931;-98,377118;67
1475203;23997;2010;3;8;58600;clean;automatic;4wd;full-size;47,65845;-117,165241;50
1589825;29900;2015;4;6;29800;clean;automatic;4wd;full-size;43,204543;-75,4242;53
1629529;10607;2006;3;8;134807;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
1666984;10500;2008;3;8;115414;clean;automatic;rwd;mid-size;38,88358;-94,79383;51
1027274;5995;2002;2;6;119470;clean;automatic;rwd;full-size;34,947213;-89,440953;61
5700;10000;2011;3;6;174000;clean;automatic;4wd;full-size;43,81;-111,789;47
1674482;28900;2013;3;8;95208;clean;automatic;4wd;full-size;36,277213;-80,339822;56
441990;16995;2009;3;8;85225;clean;automatic;4wd;full-size;40,0009;-82,6687;49
1357474;5996;2003;2;8;141021;clean;automatic;4wd;full-size;44,602263;-73,16141;44
1205242;2000;1987;2;8;166000;clean;automatic;4wd;;48,217353;-114,277554;40
1064856;32914;2016;3;6;65706;clean;automatic;4wd;full-size;38,671618;-94,36651;52
895223;26995;2011;3;8;119691;clean;automatic;4wd;mid-size;41,96378;-83,67195;45
1640479;21964;2013;3;8;50161;clean;automatic;4wd;;43,852883;-88,855927;45
1419412;30795;2014;3;6;24880;clean;automatic;4wd;full-size;38,588302;-89,923783;48
363202;11977;2008;3;8;171488;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
372569;27000;2011;2;8;148789;clean;automatic;4wd;full-size;30,790116;-83,221583;59
1720381;16800;2008;3;8;136124;clean;automatic;4wd;full-size;35,887189;-78,265568;56
958676;17250;2011;3;8;109000;clean;automatic;4wd;;44,060422;-92,50617;43
872443;22000;2010;3;8;55000;clean;automatic;4wd;full-size;42,8256;-86,0104;45
271022;6495;2007;2;6;58151;clean;other;rwd;full-size;41,799853;-86,077076;45
189066;21998;2010;3;8;108000;clean;automatic;4wd;full-size;44,053757;-121,302076;50
141908;18995;2010;2;8;157150;clean;automatic;4wd;full-size;33,27424;-86,810883;61
903208;24000;2012;3;6;90000;lien;automatic;4wd;full-size;42,2451;-85,7943;45
1660796;21904;2013;3;8;91835;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
155217;27495;2013;3;6;95891;clean;automatic;4wd;full-size;42,701772;-89,008858;45
389839;6800;2004;3;10;162000;clean;automatic;4wd;full-size;39,839935;-97,009964;51
1712237;17900;2014;3;8;63745;clean;automatic;rwd;full-size;36,277213;-80,339822;56
568155;8498;2004;2;8;128152;clean;automatic;4wd;full-size;44,282904;-121,17374;50
1641810;9660;2006;3;8;179931;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
913990;7000;2003;3;8;113714;clean;automatic;rwd;full-size;43,6794;-83,9927;45
1505621;2500;2001;1;8;256499;clean;automatic;4wd;full-size;46,2232;-119,771;50
279814;21995;2012;3;8;128851;clean;automatic;4wd;full-size;31,732124;-106,364833;67
448803;10488;2006;3;8;98866;clean;automatic;4wd;mid-size;39,23845;-84,59307;49
1406211;3500;1998;2;8;222811;clean;automatic;4wd;;37,431;-77,6545;55
83576;6800;2006;3;8;127999;clean;automatic;fwd;full-size;30,1743;-97,8225;67
143621;24995;2014;2;8;122725;clean;automatic;4wd;full-size;31,607642;-89,196805;61
465016;5950;2006;2;8;95000;clean;automatic;4wd;;41,089134;-80,704291;49
929955;3000;1999;2;8;175517;clean;automatic;4wd;full-size;43,835837;-84,586108;45
1719943;23500;2014;3;6;102190;clean;automatic;4wd;full-size;35,887189;-78,265568;56
1573688;13995;2008;3;8;105033;clean;automatic;4wd;full-size;43,223552;-77,372473;53
1027721;22900;2015;3;8;99108;clean;automatic;4wd;full-size;33,066044;-89,593906;61
804781;5000;1978;2;8;21300;clean;automatic;rwd;;40,4254;-79,9799;53
1333743;8995;2006;3;8;115500;clean;automatic;rwd;full-size;40,953292;-98,418422;46
319697;49890;2018;4;6;3073;clean;automatic;4wd;;49,204598;-123,139205;
1643050;35832;2016;3;6;29136;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
1246282;10688;2011;3;6;133015;clean;automatic;4wd;full-size;29,833422;-95,410297;67
784497;18977;2010;4;8;81040;clean;automatic;4wd;full-size;41,344632;-75,688506;53
1715471;25000;2013;3;6;143175;clean;automatic;4wd;full-size;35,887189;-78,265568;56
232943;6650;2001;3;8;147681;clean;automatic;rwd;;30,475548;-87,24535;65
958376;3000;1997;1;8;92300;clean;automatic;4wd;full-size;44,027183;-92,447462;43
451529;17000;2010;2;8;101853;clean;automatic;4wd;full-size;40,902588;-81,150479;49
478048;4300;1992;2;8;190500;clean;automatic;rwd;full-size;34,539442;-112,467487;71
1060863;22950;2014;3;6;78500;rebuilt;automatic;4wd;;36,868848;-94,536845;52
202297;26999;2014;2;6;127751;clean;automatic;4wd;full-size;36,644835;-93,218011;52
911483;7500;2004;3;8;129420;clean;automatic;4wd;;42,5593;-83,79443;45
1045093;13750;2012;2;6;148000;clean;automatic;rwd;;37,22375;-93,213501;52
1031328;11500;2008;2;8;101000;clean;automatic;4wd;full-size;43,4775;-96,7041;38
865684;12995;2014;2;6;155425;clean;automatic;rwd;full-size;42,477134;-82,949564;45
877566;25998;2015;3;6;36048;clean;automatic;4wd;mid-size;42,22969;-83,48548;45
976631;11990;2009;3;8;176000;clean;automatic;;;46,450007;-95,12469;43
1224900;11995;2012;4;8;144368;clean;automatic;;full-size;32,222;-95,2266;67
312461;15000;2007;4;8;275000;clean;automatic;rwd;;49,239044;-122,857271;
1650624;29995;2015;2;8;62688;clean;automatic;4wd;full-size;42,970214;-90,112347;45
1640500;27993;2016;3;6;17312;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
1128870;1;1997;2;8;247500;clean;automatic;;;26,6281;-82,0182;65
252314;999;2011;2;8;85000;clean;automatic;rwd;;41,0334;-81,4385;49
470221;6799;2003;3;8;81731;clean;automatic;rwd;full-size;40,050455;-84,193339;49
502782;12995;2007;3;8;96000;clean;automatic;4wd;full-size;43,9608;-70,2974;44
21819;2400;2000;1;6;167000;clean;manual;4wd;full-size;44,5199;-85,6935;45
1242505;31995;2013;3;8;144082;clean;automatic;;full-size;31,732124;-106,364833;67
1629839;16979;2013;3;6;68602;clean;automatic;rwd;mid-size;44,52039;-88,06645;45
127813;27995;2016;3;8;42956;clean;automatic;4wd;full-size;40,83598;-96,725713;46
19167;22700;2011;3;8;164808;clean;automatic;4wd;full-size;50,007206;-125,244168;
589661;2995;1979;2;8;111111;clean;manual;4wd;;42,4638;-123,3457;50
857233;2000;1993;2;8;116000;clean;automatic;4wd;full-size;37,278145;-107,859476;45
395250;13200;2008;3;8;111102;clean;automatic;rwd;mid-size;34,83092;-87,62284;61
1357442;13500;2010;2;8;66000;clean;automatic;4wd;;43,9444;-72,6726;44
1654481;15900;2016;3;6;142595;clean;automatic;4wd;full-size;44,227258;-88,467902;45
34205;7200;2002;3;8;142000;clean;automatic;4wd;full-size;45,765895;-87,089;45
394357;9000;2004;2;8;187000;clean;automatic;4wd;;34,618;-86,0562;61
1022583;21987;2010;4;8;101071;clean;automatic;4wd;full-size;32,18182;-90,137611;61
1551735;4500;2004;2;8;70605;clean;automatic;rwd;;42,1743;-91,9892;47
655446;15000;2016;3;6;109356;clean;automatic;rwd;mid-size;34,21788;-118,48452;59
1235595;8400;2012;2;6;141800;clean;automatic;rwd;;30,43;-97,8326;67
720592;4600;2005;2;6;160000;clean;automatic;rwd;full-size;40,182207;-122,205471;59
176193;5000;2003;2;8;227050;clean;automatic;4wd;full-size;38,0891;-85,6548;50
995507;2500;2003;2;8;240345;clean;automatic;;;34,183033;-79,766836;60
1156033;4500;2002;1;8;88591;clean;automatic;4wd;full-size;30,512162;-87,252296;65
1645103;16995;2010;3;8;88402;rebuilt;automatic;4wd;full-size;44,409843;-89,88115;45
1417197;18950;2010;3;8;145278;clean;automatic;4wd;full-size;37,286501;-80,056719;55
1217504;5000;2002;2;8;290000;clean;automatic;4wd;;30,6327;-96,3662;67
1559983;4450;2004;3;8;152000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
785556;33996;2015;2;8;46711;clean;automatic;4wd;full-size;40,335245;-76,488033;53
989802;28990;2013;2;6;58140;clean;automatic;4wd;full-size;45,978572;-94,342018;43
169159;8950;2010;2;8;168260;clean;automatic;4wd;;40,120838;-77,028586;53
332182;24988;2012;2;8;92871;clean;automatic;4wd;full-size;36,137597;-86,761799;59
177001;20980;2011;3;6;73000;clean;automatic;4wd;full-size;38,210411;-84,548431;50
1647544;34999;2015;3;6;76002;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
1209956;24888;2014;3;8;62084;clean;automatic;4wd;;47,830597;-110,662694;40
1643245;35998;2016;3;8;27417;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
427934;11500;2011;3;8;218000;clean;automatic;4wd;full-size;30,244371;-89,760584;67
644070;7995;2000;3;8;183000;clean;automatic;rwd;full-size;39,363221;-121,686417;59
1318013;5400;2001;2;8;174000;clean;automatic;4wd;full-size;34,1124;-83,9965;59
1600581;13890;2011;3;8;142624;clean;automatic;4wd;full-size;43,15506;-75,930719;53
1151931;1;1997;2;8;247500;clean;automatic;;;26,6281;-82,0182;65
1565017;26500;2015;3;6;68000;clean;automatic;4wd;;42,436074;-96,213515;47
815956;7500;2002;3;8;122000;clean;automatic;4wd;;41,3914;-75,6657;53
934785;11000;2008;2;8;153000;lien;automatic;4wd;;43,124894;-86,174485;45
1659366;24993;2012;3;6;73737;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
28660;21900;2015;2;6;149616;clean;automatic;4wd;full-size;31,316064;-89,437114;61
1174770;5999;2004;3;8;113784;clean;automatic;4wd;full-size;27,873066;-82,786729;65
1663534;6500;2009;1;8;186484;clean;automatic;rwd;;37,545834;-97,242182;51
1650085;22994;2012;3;6;73737;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
1367975;8495;2008;3;8;175000;clean;automatic;4wd;full-size;43,567639;-116,577928;47
863006;24995;2015;3;8;85585;clean;automatic;4wd;;40,007891;-104,818353;45
96718;21795;2015;2;6;103217;clean;automatic;4wd;full-size;35,796126;-78,554108;56
67401;18900;2012;3;8;57000;rebuilt;automatic;4wd;full-size;40,254049;-76,035991;53
1120674;4500;1986;2;8;154000;clean;automatic;rwd;full-size;30,9524;-86,4003;65
347961;10900;2007;2;8;120000;clean;automatic;4wd;full-size;41,07435;-85,171308;48
553401;1499;1990;1;6;175000;clean;automatic;rwd;;38,7768;-76,0758;56
1634220;39894;2015;3;6;29531;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
452650;14950;2014;2;8;139325;clean;other;4wd;full-size;38,692648;-82,857744;49
1593864;7900;1997;3;8;93000;clean;automatic;rwd;full-size;44,633134;-75,251276;53
435262;5500;1984;3;6;122000;rebuilt;automatic;rwd;;41,061777;-81,686515;49
979540;3981;2008;2;6;156000;clean;automatic;rwd;full-size;44,9913;-92,9487;43
30438;21900;2010;2;8;122275;clean;automatic;4wd;full-size;31,316064;-89,437114;61
59552;22988;2012;3;6;132010;clean;automatic;4wd;;45,121187;-92,693325;45
1641733;30127;2015;3;8;38943;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
1345462;3300;1998;3;8;151800;clean;automatic;rwd;full-size;36,060895;-115,248768;46
1601544;3800;1997;3;6;99500;clean;automatic;rwd;full-size;43,141162;-78,683072;53
1660172;35403;2016;3;6;22375;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
1128055;9900;2008;3;8;137779;clean;automatic;;;26,92;-82,3048;65
442571;500;2000;1;6;189208;clean;manual;rwd;full-size;39,72656;-82,711506;49
1055974;27995;2015;3;8;113168;clean;automatic;4wd;full-size;38,671618;-94,36651;52
1684161;37500;2017;4;6;13000;clean;automatic;4wd;full-size;35,1204;-76,9842;56
1137318;6999;2005;3;8;116116;clean;automatic;rwd;full-size;27,872735;-82,787042;65
81315;5995;2001;3;8;154946;clean;automatic;4wd;;48,9372;-122,4592;50
867842;13988;2011;2;6;146699;clean;automatic;4wd;full-size;42,892121;-85,665539;45
1613879;21890;2016;3;6;46203;clean;automatic;rwd;full-size;43,154559;-75,931234;53
964776;17995;2009;2;8;120312;clean;other;4wd;full-size;45,049163;-93,035945;43
1023601;34500;2017;4;6;18800;clean;automatic;4wd;full-size;33,4812;-88,3554;61
156166;49890;2018;4;6;3073;clean;automatic;4wd;;49,204598;-123,139205;
54437;6400;2006;2;8;288;clean;automatic;4wd;full-size;49,392323;-123,542081;
932964;12488;2010;2;8;144570;clean;automatic;4wd;full-size;42,892121;-85,665539;45
1648086;26320;2014;3;6;64947;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
1661990;7500;2001;2;8;165000;clean;automatic;4wd;full-size;39,021205;-95,626545;51
418930;1500;2000;1;8;194000;clean;automatic;4wd;full-size;61,19;-149,8938;29
1661046;18500;2013;3;6;75295;clean;automatic;4wd;mid-size;43,78124;-88,50265;45
1605992;28990;2015;3;8;37271;clean;automatic;4wd;full-size;43,154684;-75,930204;53
1366610;29995;2015;4;6;9214;clean;automatic;4wd;full-size;47,729625;-116,739006;47
670764;5600;2007;2;8;213356;clean;automatic;rwd;;38,6157;-121,5053;59
1177668;7450;2006;3;8;256866;clean;automatic;4wd;full-size;27,603157;-80,38561;65
1521296;4500;2004;3;8;113438;clean;automatic;rwd;;39,71819;-86,35679;48
1583848;31990;2016;3;6;22726;clean;automatic;4wd;full-size;43,154434;-75,934324;53
313962;5000;2001;2;8;249000;clean;automatic;4wd;full-size;40,167126;-122,23768;59
1621309;21995;2011;3;6;124507;clean;automatic;4wd;full-size;42,701772;-89,008858;45
149364;18000;2013;3;6;144000;clean;automatic;4wd;full-size;31,9657;-86,2844;61
1149864;5800;2006;3;6;112413;clean;automatic;rwd;full-size;28,079232;-80,674959;65
985382;9700;2005;3;8;183000;clean;automatic;;;46,450007;-95,12469;43
503829;1600;1996;2;8;199000;clean;automatic;rwd;full-size;43,5835;-70,3457;44
137322;36998;2015;4;6;19881;clean;automatic;4wd;;50,045346;-125,269028;
1406478;1300;1986;2;6;167000;clean;manual;rwd;;37,9038;-77,6308;55
1490396;31950;2016;3;6;46027;clean;automatic;4wd;full-size;48,435674;-122,325843;50
1150430;28218;2014;3;6;87723;clean;automatic;4wd;mid-size;27,15356;-80,21936;65
1458167;3000;2001;3;8;200000;clean;automatic;4wd;full-size;39,9597;-74,5655;52
1561714;3950;2006;3;8;187000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
26562;3200;2003;2;8;154000;clean;automatic;4wd;;41,3691;-71,8126;49
525239;21995;2014;2;6;81275;clean;automatic;rwd;full-size;36,08996;-96,05206;57
1708334;26999;2014;3;8;73411;clean;automatic;4wd;;34,7253;-76,7531;56
340215;12990;2013;3;8;176752;clean;automatic;;full-size;47,911024;-97,045022;38
1715558;12000;2010;2;8;164000;lien;automatic;4wd;;35,5866;-77,3485;56
579028;11997;2003;3;8;137655;clean;automatic;4wd;full-size;42,355897;-122,865844;50
1646588;9038;2006;3;8;196531;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
115016;700;1995;0;8;280000;clean;automatic;4wd;full-size;5,377001;-5,377999;
1586323;14995;2010;3;8;120715;clean;automatic;4wd;full-size;43,223552;-77,372473;53
1420423;33000;2015;4;8;58000;clean;automatic;4wd;full-size;40,4659;-88,3609;48
86076;2000;1986;2;6;24000;clean;automatic;rwd;full-size;43,453187;-84,047871;45
969542;13988;2013;2;6;48459;clean;automatic;rwd;full-size;45,553434;-94,231841;43
514273;9950;2007;3;8;138582;clean;automatic;4wd;mid-size;36,28962;-95,31964;57
747186;2500;1991;2;6;186500;clean;manual;rwd;full-size;34,402;-119,2982;59
367242;42980;2017;4;6;13615;clean;automatic;4wd;;49,204598;-123,139205;
1337244;8995;2006;3;8;138975;clean;automatic;4wd;full-size;40,842755;-96,694022;46
381398;7900;2003;2;8;288000;clean;automatic;4wd;full-size;48,687655;-123,603336;
964325;1750;1997;2;8;320000;clean;automatic;4wd;;44,858294;-95,44339;43
715465;2500;1984;2;6;92311;clean;automatic;rwd;full-size;36,7863;-119,8286;59
1438990;14995;2007;3;8;141653;clean;automatic;4wd;full-size;38,084394;-89,339761;48
365161;19900;2014;4;8;114295;clean;automatic;4wd;;36,18884;-94,138076;59
1457624;3995;2006;4;8;138834;clean;automatic;4wd;full-size;40,019011;-74,94746;52
832961;17495;2012;2;6;123729;clean;automatic;4wd;full-size;38,717906;-108,054869;45
1649129;5495;2006;3;8;151344;clean;automatic;4wd;;45,2617;-88,078;45
1403416;9300;2008;2;8;176000;clean;automatic;4wd;full-size;37,375676;-79,185799;55
123726;13880;2009;3;8;154597;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
1565449;19000;2011;3;6;83000;clean;automatic;4wd;full-size;41,3301;-92,2019;47
1106689;19977;2015;3;6;80941;clean;automatic;rwd;full-size;27,848654;-82,690316;65
882636;700;1996;1;6;260;clean;manual;rwd;full-size;42,9958;-82,4599;45
1612287;33890;2018;3;8;17621;clean;automatic;rwd;full-size;43,154309;-75,931063;53
920197;5500;2002;2;8;176733;clean;automatic;4wd;full-size;41,875262;-84,018623;45
1339741;10900;2006;3;8;115000;clean;automatic;4wd;full-size;40,3958;-111,8506;50
1554462;7995;2005;2;8;167358;clean;automatic;;full-size;42,03519;-91,559347;47
177460;14995;2009;3;8;140149;clean;automatic;4wd;full-size;38,159627;-85,697708;50
