;price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
1061268;27995;2016;3;6;42207;clean;automatic;4wd;full-size;38,951674;-92,332541;52
272890;22994;2012;3;6;82716;clean;automatic;4wd;mid-size;41,22815;-95,85953;47
1340594;3000;1988;2;8;76000;clean;manual;4wd;;37,175631;-113,60824;50
959363;3990;2001;3;8;0;clean;automatic;;;46,450007;-95,12469;43
340204;12990;2013;3;8;176752;clean;automatic;;full-size;47,911024;-97,045022;38
154786;10500;2004;3;5;140000;clean;automatic;4wd;;39,9771;-74,1565;52
1719847;16995;2013;2;8;163845;clean;automatic;4wd;full-size;35,586352;-77,605845;56
368002;3500;2006;2;8;240000;clean;automatic;4wd;;43,6555;-79,3626;
414709;15990;2014;3;6;99422;clean;automatic;4wd;full-size;47,911024;-97,045022;38
1188375;3600;2002;2;8;197658;clean;automatic;;;30,2407;-81,617;65
1439008;9990;2007;4;8;105406;clean;automatic;rwd;full-size;38,731803;-90,073678;48
1611580;33495;2016;3;6;27000;clean;automatic;4wd;full-size;42,069349;-76,122861;53
1118149;8900;2010;2;8;142774;clean;automatic;4wd;full-size;28,079232;-80,674959;65
1050377;5500;2008;2;6;113000;clean;automatic;;;37,7241;-93,796;52
210811;25423;2014;3;8;96551;clean;automatic;4wd;mid-size;30,43955;-91,08613;67
1091320;21988;2014;2;6;110107;clean;automatic;4wd;full-size;36,137597;-86,761799;59
598602;34900;2016;3;8;18800;lien;automatic;4wd;full-size;43,2297;-123,2343;50
580901;2500;1982;2;6;208;clean;manual;4wd;;44,545145;-123,254963;50
789716;8950;2010;2;8;168260;clean;automatic;4wd;;40,120838;-77,028586;53
1490686;6500;2004;4;8;175000;salvage;automatic;4wd;full-size;48,4786;-122,3345;50
868987;12488;2010;2;8;144570;clean;automatic;4wd;full-size;42,892121;-85,665539;45
84876;24500;2016;3;6;53000;clean;automatic;rwd;;27,1384;-82,4518;65
432107;32000;2013;3;6;83000;clean;automatic;4wd;full-size;32,289715;-93,687973;67
1295330;21990;2015;3;6;100515;clean;automatic;rwd;full-size;32,746335;-96,988549;67
1468233;1250;2001;1;8;174000;clean;automatic;4wd;full-size;40,686003;-74,839863;52
63144;23995;2014;3;8;61430;clean;automatic;4wd;full-size;42,032203;-91,611698;47
961325;25000;2013;2;6;76500;clean;automatic;4wd;;43,6197;-95,9273;43
1603112;21990;2014;3;8;96079;clean;automatic;4wd;full-size;43,154058;-75,931063;53
980135;27990;2016;2;6;22895;clean;automatic;4wd;full-size;45,978572;-94,342018;43
116027;37995;2015;4;8;26903;clean;automatic;4wd;;50,045346;-125,269028;
1404924;4000;2000;2;8;174000;clean;automatic;4wd;full-size;39,058;-78,1105;55
164152;17370;2013;2;6;105706;clean;automatic;rwd;full-size;32,427868;-86,467649;61
901199;25995;2017;3;6;7427;salvage;automatic;4wd;full-size;42,636721;-85,284741;45
486711;9900;2005;3;8;0;clean;automatic;4wd;full-size;32,252974;-110,97871;71
1520015;21995;2013;2;6;107739;clean;automatic;4wd;full-size;41,686718;-86,012028;48
1649559;18550;2011;3;6;129594;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
1705563;27700;2013;4;6;97000;clean;automatic;4wd;full-size;36,3301;-78,3981;56
811155;8950;2010;2;8;168260;clean;automatic;4wd;;40,120838;-77,028586;53
1647324;14996;2007;3;8;108951;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
471846;6800;2005;2;8;153500;clean;automatic;4wd;full-size;40,678059;-82,601174;49
1209084;3500;1998;2;8;182090;clean;manual;4wd;;46,2395;-114,1679;40
929388;20500;2013;3;8;113800;clean;automatic;4wd;full-size;44,271077;-85,403669;45
355670;29780;2015;2;8;76711;clean;automatic;4wd;full-size;39,019586;-94,574291;52
392493;29000;2014;3;3;33000;lien;automatic;4wd;full-size;33,745753;-87,082958;61
533686;22980;2013;3;8;111754;clean;automatic;rwd;;36,357877;-94,210499;59
1043794;18995;2010;2;8;113256;clean;automatic;4wd;full-size;39,733601;-94,828925;52
242442;7500;2004;4;8;294686;clean;automatic;4wd;full-size;39,044586;-94,668267;51
1670044;6700;2006;2;8;185000;clean;automatic;4wd;;37,5647;-97,3553;51
1023399;21995;2011;2;8;128156;clean;automatic;4wd;full-size;34,947213;-89,440953;61
1162080;7495;2006;2;8;153000;clean;automatic;4wd;full-size;30,4034;-81,7635;65
1637286;21490;2013;3;8;64412;rebuilt;automatic;4wd;full-size;44,409554;-89,880342;45
1095498;25000;2014;2;6;90005;clean;automatic;4wd;full-size;35,01845;-85,204983;59
594430;2998;1999;2;6;103972;clean;automatic;rwd;full-size;42,3899;-122,9222;50
31570;49980;2016;3;6;39200;clean;automatic;4wd;full-size;50,039078;-125,271842;
1557803;21000;2013;3;6;75000;clean;automatic;4wd;full-size;41,8967;-93,4001;47
1055503;16900;2014;2;8;161236;clean;automatic;4wd;full-size;36,644835;-93,218011;52
252398;15995;2013;3;8;101253;clean;automatic;4wd;;37,00125;-93,085957;52
381793;11950;2007;3;8;77533;clean;automatic;4wd;full-size;37,286501;-80,056719;55
1208081;3000;2000;2;6;119000;clean;automatic;rwd;;48,2028;-114,3039;40
1181358;4500;2006;4;6;237000;clean;manual;rwd;full-size;29,899091;-81,332903;65
1714281;31500;2017;3;6;7105;clean;automatic;rwd;mid-size;34,74851;-77,41559;56
174015;15993;2011;3;6;152706;clean;automatic;rwd;full-size;38,052548;-85,676488;50
634243;5500;2004;2;8;148307;lien;automatic;fwd;full-size;36,3551;-119,301;59
1213125;35900;2015;3;8;44000;clean;automatic;4wd;full-size;48,0215;-114,2266;40
488768;6000;1997;3;8;100000;clean;automatic;4wd;full-size;32,7093;-114,4905;71
1631861;11880;2008;3;8;162820;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
966254;5500;2003;3;8;87500;clean;automatic;rwd;full-size;44,0077;-93,7833;43
266681;4450;2004;3;8;152000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
10460;25000;2016;4;6;45000;clean;automatic;4wd;full-size;32,9818;-114,6854;59
1163824;28000;2013;3;6;87000;clean;automatic;4wd;full-size;29,807848;-81,242008;65
983057;25000;2011;3;6;61620;clean;automatic;4wd;mid-size;46,59003;-95,57416;43
403345;5500;2004;2;8;211000;clean;automatic;4wd;full-size;38,386342;-85,255966;50
163551;28918;2014;3;6;84100;clean;automatic;4wd;full-size;50,039106;-125,271757;
1241229;3800;2008;2;8;0;clean;automatic;4wd;mid-size;25,950376;-97,321693;67
443779;14950;2014;2;8;139325;clean;other;4wd;full-size;38,692648;-82,857744;49
1234834;25946;2013;3;8;44060;clean;automatic;rwd;mid-size;29,80483;-94,98731;67
